ar,smasvaedi,tekjutiund,fjoldi
2008,2103,1,53
2008,2103,2,48
2008,2103,3,41
2008,2103,4,46
2008,2103,5,50
2008,2103,6,64
2008,2103,7,69
2008,2103,8,64
2008,2103,9,71
2008,2103,10,86
2008,2104,1,84
2008,2104,2,73
2008,2104,3,69
2008,2104,4,82
2008,2104,5,81
2008,2104,6,75
2008,2104,7,100
2008,2104,8,102
2008,2104,9,141
2008,2104,10,180
2008,2105,1,46
2008,2105,2,42
2008,2105,3,37
2008,2105,4,65
2008,2105,5,56
2008,2105,6,56
2008,2105,7,56
2008,2105,8,63
2008,2105,9,72
2008,2105,10,49
2008,2106,1,66
2008,2106,2,80
2008,2106,3,80
2008,2106,4,74
2008,2106,5,84
2008,2106,6,100
2008,2106,7,117
2008,2106,8,122
2008,2106,9,126
2008,2106,10,178
2008,2201,1,45
2008,2201,2,47
2008,2201,3,49
2008,2201,4,44
2008,2201,5,54
2008,2201,6,35
2008,2201,7,57
2008,2201,8,74
2008,2201,9,65
2008,2201,10,102
2008,2202,1,7
2008,2202,2,12
2008,2202,3,8
2008,2202,4,7
2008,2202,5,6
2008,2202,6,3
2008,2202,7,2
2008,2202,8,8
2008,2202,9,10
2008,2202,10,12
2008,2203,1,14
2008,2203,2,6
2008,2203,3,4
2008,2203,4,17
2008,2203,5,19
2008,2203,6,12
2008,2203,7,13
2008,2203,8,28
2008,2203,9,26
2008,2203,10,8
2008,2204,1,54
2008,2204,2,53
2008,2204,3,38
2008,2204,4,71
2008,2204,5,58
2008,2204,6,54
2008,2204,7,68
2008,2204,8,76
2008,2204,9,87
2008,2204,10,90
2008,2205,1,43
2008,2205,2,57
2008,2205,3,44
2008,2205,4,64
2008,2205,5,77
2008,2205,6,59
2008,2205,7,75
2008,2205,8,87
2008,2205,9,93
2008,2205,10,76
2008,2301,1,91
2008,2301,2,73
2008,2301,3,70
2008,2301,4,71
2008,2301,5,61
2008,2301,6,79
2008,2301,7,74
2008,2301,8,87
2008,2301,9,106
2008,2301,10,172
2008,2302,1,63
2008,2302,2,42
2008,2302,3,33
2008,2302,4,28
2008,2302,5,43
2008,2302,6,43
2008,2302,7,34
2008,2302,8,54
2008,2302,9,74
2008,2302,10,118
2008,2303,1,79
2008,2303,2,76
2008,2303,3,62
2008,2303,4,55
2008,2303,5,71
2008,2303,6,94
2008,2303,7,77
2008,2303,8,89
2008,2303,9,111
2008,2303,10,155
2008,2401,1,88
2008,2401,2,105
2008,2401,3,115
2008,2401,4,104
2008,2401,5,62
2008,2401,6,60
2008,2401,7,74
2008,2401,8,52
2008,2401,9,63
2008,2401,10,70
2008,2402,1,104
2008,2402,2,79
2008,2402,3,83
2008,2402,4,77
2008,2402,5,90
2008,2402,6,107
2008,2402,7,90
2008,2402,8,117
2008,2402,9,137
2008,2402,10,132
2008,2403,1,113
2008,2403,2,99
2008,2403,3,101
2008,2403,4,107
2008,2403,5,140
2008,2403,6,114
2008,2403,7,112
2008,2403,8,124
2008,2403,9,119
2008,2403,10,106
2008,2404,1,103
2008,2404,2,54
2008,2404,3,71
2008,2404,4,73
2008,2404,5,48
2008,2404,6,79
2008,2404,7,81
2008,2404,8,79
2008,2404,9,90
2008,2404,10,75
2008,2405,1,31
2008,2405,2,22
2008,2405,3,17
2008,2405,4,23
2008,2405,5,18
2008,2405,6,27
2008,2405,7,23
2008,2405,8,21
2008,2405,9,30
2008,2405,10,19
2008,2406,1,69
2008,2406,2,70
2008,2406,3,62
2008,2406,4,54
2008,2406,5,77
2008,2406,6,68
2008,2406,7,82
2008,2406,8,59
2008,2406,9,58
2008,2406,10,58
2008,2407,1,2
2008,2407,2,1
2008,2407,3,1
2008,2407,5,1
2008,2407,6,1
2008,2407,8,1
2008,2407,9,1
2008,2407,10,3
2008,2501,1,117
2008,2501,2,123
2008,2501,3,124
2008,2501,4,121
2008,2501,5,101
2008,2501,6,98
2008,2501,7,104
2008,2501,8,91
2008,2501,9,73
2008,2501,10,68
2008,2502,1,58
2008,2502,2,61
2008,2502,3,64
2008,2502,4,41
2008,2502,5,42
2008,2502,6,39
2008,2502,7,35
2008,2502,8,29
2008,2502,9,23
2008,2502,10,13
2008,2503,1,121
2008,2503,2,116
2008,2503,3,105
2008,2503,4,102
2008,2503,5,73
2008,2503,6,74
2008,2503,7,70
2008,2503,8,57
2008,2503,9,45
2008,2503,10,36
2008,2504,1,80
2008,2504,2,129
2008,2504,3,117
2008,2504,4,104
2008,2504,5,81
2008,2504,6,88
2008,2504,7,58
2008,2504,8,73
2008,2504,9,59
2008,2504,10,42
2008,2601,1,114
2008,2601,2,143
2008,2601,3,104
2008,2601,4,113
2008,2601,5,79
2008,2601,6,74
2008,2601,7,76
2008,2601,8,69
2008,2601,9,69
2008,2601,10,72
2008,2602,1,125
2008,2602,2,201
2008,2602,3,154
2008,2602,4,121
2008,2602,5,111
2008,2602,6,99
2008,2602,7,94
2008,2602,8,85
2008,2602,9,112
2008,2602,10,84
2008,2701,1,66
2008,2701,2,69
2008,2701,3,77
2008,2701,4,68
