ar,smasvaedi,fjoldi
2014,0404,1099
2014,0405,927
2014,0501,760
2014,0502,724
2014,0503,628
2014,0504,609
2014,0601,1154
2014,0602,872
2014,0603,399
2014,0604,747
2014,0605,537
2014,0606,757
2014,0701,736
2014,0702,616
2014,0703,736
2014,0704,987
2014,0705,946
2014,0706,1375
2014,0707,557
2014,0708,909
2014,0801,720
2014,0802,576
2014,0803,1043
2014,0804,1262
2014,0805,718
2014,0806,915
2014,0807,726
2014,0901,1136
2014,0902,670
2014,0903,873
2014,0904,865
2014,0905,510
2014,1001,458
2014,1002,875
2014,1003,1293
2014,1004,1075
2014,1005,842
2014,1006,877
2014,1101,415
2014,1102,1396
2014,1103,1237
2014,1104,985
2014,1201,826
2014,1202,1300
2014,1203,767
2014,1204,1043
2014,1205,624
2014,1206,762
2014,1301,854
2014,1302,1031
2014,1303,724
2014,1304,295
2014,1305,400
2014,1401,832
2014,1402,397
2014,1403,530
2014,1404,489
2014,1501,936
2014,1502,840
2014,1503,1058
2014,1504,900
2014,1601,628
2014,1602,1085
2014,1603,1478
2014,1701,618
2014,1702,511
2014,1703,534
2014,1704,757
2014,1705,976
2014,1706,899
2014,1801,649
2014,1802,539
2014,1803,98
2014,1804,674
2014,1805,778
2014,1806,414
2014,1807,799
2014,1808,1015
2014,1809,737
2014,1810,392
2014,1811,828
2014,1901,873
2014,1902,334
2014,1903,309
2014,1904,762
2014,2001,798
2014,2002,307
2014,2003,567
2014,2004,1144
2014,2005,888
2014,2006,1090
2014,2007,984
2014,2008,435
2014,2101,971
2014,2102,353
2014,2103,679
2014,2104,916
2014,2105,502
2014,2106,876
2014,2201,931
2014,2202,440
2014,2203,406
2014,2204,730
2014,2205,699
2014,2301,851
2014,2302,509
2014,2303,843
2014,2401,900
2014,2402,982
2014,2403,1010
2014,2404,734
2014,2405,259
2014,2406,597
2014,2407,204
2014,2501,1097
2014,2502,423
2014,2503,774
2014,2504,852
2014,2601,994
2014,2602,1249
2014,2701,562
2014,2702,641
