Sveitarfélag,Tegundlóða,Lóðasvæði,Staða,Athugasemdir,Smásvæði,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Samtals
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Eirhöfði I,Byggingarhæf lóð,Í byggingu,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 9b,Samþykkt deiliskipulag,Óbyggingarhæf lóð - innviðir,,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
Reykjavíkurborg,Fjölbýli,Kirkjusandur  (Kirkjusandur 2 og LHÍ reitur),Byggingarhæf lóð,Rif fyrirhugað á Kirkjusandi 2 - LHÍ til framtíðar og þróunar,,0.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,450.0
Reykjavíkurborg,Fjölbýli,Miklubrautarstokkur,Þróunar- og framtíðarsvæði,Þróunarreitur,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,130.0,275.0,0.0,695.0
Reykjavíkurborg,Fjölbýli,Hlíðar - Tryggingastofnun,Þróunar- og framtíðarsvæði,Þróunarsvæði,,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Háaleiti og Bústaðir - Orkureitur,Byggingarhæf lóð,Í byggingu,,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
Reykjavíkurborg,Fjölbýli,Kjalarnes - Brautarholtsvegur,Þróunar- og framtíðarsvæði,Þróunarreitur,,0.0,0.0,35.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
Reykjavíkurborg,Fjölbýli,Korpureitir,Þróunar- og framtíðarsvæði,Þróunarsvæði,,0.0,0.0,0.0,0.0,115.0,100.0,0.0,0.0,0.0,0.0,0.0,215.0
Reykjavíkurborg,Fjölbýli,Miðborg - Frakkastígur,Byggingarhæf lóð,-,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Reykjavíkurborg,Fjölbýli,"Nauthólsvegur (79, 87 og A reitur Hlíðarenda)",Byggingarhæf lóð,"Nauthólsvegur 79 og 87 byggingarhæfar, A-reitur í deiliskipulagsferli - forvinnu",,0.0,213.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0
Reykjavíkurborg,Fjölbýli,Sigtún,Byggingarhæf lóð,,,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
Reykjavíkurborg,Fjölbýli,Skerjafjörður II,Þróunar- og framtíðarsvæði,Þróunarreitur,,0.0,0.0,0.0,0.0,0.0,225.0,232.0,168.0,94.0,0.0,0.0,719.0
Reykjavíkurborg,Fjölbýli,Veðurstofuhæð,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Breiðhöfði 15 (Lóð 12a),Byggingarhæf lóð,-,,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði IV - Bryggjuhverfi III,Samþykkt deiliskipulag,Þróunarreitur,,0.0,103.0,66.0,55.0,112.0,89.0,207.0,0.0,0.0,0.0,98.0,730.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði VII - Bíldshöfði,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,,0.0,0.0,95.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,475.0
Reykjavíkurborg,Fjölbýli,Úlfarsárdalur - Leirtjörn vestur,Þróunar- og framtíðarsvæði,Skipulagsferli - í vinnslu,,0.0,0.0,100.0,100.0,100.0,100.0,12.0,0.0,0.0,0.0,0.0,412.0
Reykjavíkurborg,Fjölbýli,Úlfarsárdalur - sunnan Skyggnisbrautar,Byggingarhæf lóð,Lóðir sem eru eftir sunnan Skyggnisbrautar,,0.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,23.0
Reykjavíkurborg,Fjölbýli,Miðborg - Vatnsstígur,Byggingarhæf lóð,"Niðurrif, flutningur o.fl.",,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 9c,Samþykkt deiliskipulag,Óbyggingarhæf lóð - innviðir,,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Norður Mjódd,Þróunar- og framtíðarsvæði,Skipulagsferli - lýsing,,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,400.0
Reykjavíkurborg,Fjölbýli,Gufunes II,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,350.0
Reykjavíkurborg,Fjölbýli,Heklureitur - C-E,Byggingarhæf lóð,Byggingarhæf lóð - í bið,,0.0,0.0,0.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,255.0
Reykjavíkurborg,Fjölbýli,Kjalarnes - Norðan Brautarholtsvegar,Þróunar- og framtíðarsvæði,Þróunarsvæði,,0.0,0.0,0.0,47.0,30.0,58.0,0.0,0.0,0.0,0.0,0.0,135.0
Reykjavíkurborg,Fjölbýli,Múlar - Ármúli/Suðurlandsbraut,Þróunar- og framtíðarsvæði,Framtíðarsvæði,,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,400.0
Reykjavíkurborg,Fjölbýli,Safamýri 59,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
Reykjavíkurborg,Fjölbýli,Vogabyggð I - Stefnisvogur 1,Byggingarhæf lóð,,,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 8,Samþykkt deiliskipulag,Óbyggingarhæf lóð - innviðir,,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
Reykjavíkurborg,Fjölbýli,Úlfarsárdalur - Silfratjörn 1,Byggingarhæf lóð,Í byggingu,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði II - Elliðaárvogur,Þróunar- og framtíðarsvæði,Skipulagsferli - í vinnslu,,0.0,0.0,0.0,229.0,248.0,348.0,337.0,326.0,442.0,0.0,0.0,1930.0
Reykjavíkurborg,Fjölbýli,Borgarspítali +,Þróunar- og framtíðarsvæði,Deiliskipulag - forvinna,,0.0,0.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Völvufell,Þróunar- og framtíðarsvæði,Skipulagsferli - tillaga í vinnslu,,0.0,0.0,0.0,64.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
Reykjavíkurborg,Fjölbýli,Hlíðarendi - Haukahlíð 2,Byggingarhæf lóð,Í byggingu,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
Reykjavíkurborg,Fjölbýli,Hátún+,Þróunar- og framtíðarsvæði,Þróunarsvæði,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,400.0
Reykjavíkurborg,Fjölbýli,Keldur,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,,0.0,0.0,0.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,2000.0
Reykjavíkurborg,Fjölbýli,Kjalarnes - Jörfagrund,Samþykkt deiliskipulag,,,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
